['LOG', 'COUNTER', 'INTERPOLATED', 'RAW_CQ', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'TIMESTAMP', 'ES_TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
2016-10-05T18:35:00.099000 , 106.0 , 0.0 , 0.0 , 4304.1025641 , 4304.1025641 , 4306.15384615 , 4334.87179487 , 4195.38461538 , 4198.46153846 , 4197.43589744 , 4194.35897436 , 4197.94871795 , 4197.94871795 , 4222.56410256 , 4953.33333333 , 4095.8974359 , 4202.56410256 , 0.74966077849 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.099000 , 107.0 , 0.0 , 0.0 , 4320.51282051 , 4318.97435897 , 4318.97435897 , 4348.20512821 , 4212.82051282 , 4213.84615385 , 4205.64102564 , 4193.33333333 , 4194.87179487 , 4199.48717949 , 4222.56410256 , 4954.87179487 , 4080.0 , 4201.53846154 , 0.756976942317 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.099000 , 108.0 , 0.0 , 0.0 , 4306.66666667 , 4306.66666667 , 4313.84615385 , 4312.82051282 , 4199.48717949 , 4189.74358974 , 4181.53846154 , 4197.94871795 , 4197.43589744 , 4202.56410256 , 4226.15384615 , 4950.76923077 , 4087.17948718 , 4200.51282051 , 0.764293106144 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.100000 , 109.0 , 0.0 , 0.0 , 4322.05128205 , 4315.8974359 , 4336.92307692 , 4332.82051282 , 4192.30769231 , 4185.12820513 , 4177.43589744 , 4196.92307692 , 4198.46153846 , 4201.53846154 , 4210.76923077 , 4953.33333333 , 4066.66666667 , 4202.05128205 , 0.77160926997 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.100000 , 110.0 , 0.0 , 0.0 , 4316.41025641 , 4304.1025641 , 4330.76923077 , 4340.0 , 4202.05128205 , 4201.02564103 , 4192.82051282 , 4193.84615385 , 4198.46153846 , 4201.02564103 , 4217.94871795 , 4951.28205128 , 4071.28205128 , 4205.12820513 , 0.778925433797 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.100000 , 111.0 , 0.0 , 0.0 , 4317.43589744 , 4305.12820513 , 4339.48717949 , 4336.92307692 , 4207.17948718 , 4206.66666667 , 4201.02564103 , 4195.38461538 , 4198.46153846 , 4200.51282051 , 4208.71794872 , 4953.33333333 , 4056.41025641 , 4203.07692308 , 0.786241597624 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.101000 , 112.0 , 0.0 , 0.0 , 4295.38461538 , 4288.20512821 , 4328.71794872 , 4315.38461538 , 4187.69230769 , 4186.15384615 , 4189.23076923 , 4198.46153846 , 4198.97435897 , 4202.56410256 , 4210.25641026 , 4951.28205128 , 4065.64102564 , 4203.07692308 , 0.793557761451 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.101000 , 113.0 , 0.0 , 0.0 , 4275.8974359 , 4277.94871795 , 4303.07692308 , 4311.28205128 , 4182.56410256 , 4183.07692308 , 4188.71794872 , 4195.8974359 , 4200.0 , 4203.07692308 , 4212.30769231 , 4949.74358974 , 4083.58974359 , 4202.56410256 , 0.800873925277 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

